round,player_id,first_equip_tick,match_number
9,65282,35092,45
9,65284,35589,45
10,65281,41176,45
10,65282,40639,45
10,65287,41584,45
10,65288,40599,45
11,65281,48797,45
11,65284,48927,45
12,65283,57321,45
12,65284,56487,45
12,65287,56734,45
17,65282,82444,45
18,65286,87705,45
18,65287,87851,45
18,65288,87372,45
19,65280,93260,45
19,65282,96431,45
19,65287,93299,45
19,65289,93707,45
20,65287,99860,45
21,65283,108637,45
21,65284,105374,45
21,65287,105230,45
22,65280,114859,45
22,65285,112662,45
22,65289,112451,45
23,65282,116440,45
24,65282,123367,45
7,65282,29934,46
7,65285,30390,46
8,65285,39020,46
8,65288,40463,46
9,65286,47236,46
9,65289,47502,46
10,65280,52683,46
10,65286,52338,46
11,65280,58033,46
11,65286,58438,46
11,65289,58173,46
12,65280,62537,46
12,65282,62066,46
12,65285,62923,46
12,65286,63294,46
12,65289,62379,46
16,65285,82088,46
16,65286,83594,46
17,65280,91680,46
17,65281,88064,46
17,65285,88383,46
17,65286,87844,46
